"Qty","Value","Device","Parts","Library","Description","DIGIKEY","MF","MPN","OC_FARNELL","OC_NEWARK","PARTNO","PN",
"1","MK20DX256VLH7","MK20DX256VLH7","U9","Eurocard-HV-piezo-driver","This is a footprint for the MK20dx256VHL7, the chip at the heart of the Teensy 3.1. Notable upgrades over the Teensy 3.0 include more Flash Memory, RAM, a DAC output, additional ADC pins, etc.Remember, if you want to use USB, VOut3v3 has to be attached to the 3.3V bus.","","","","","","","",
"1","","MTA07-100","J5","Eurocard-HV-piezo-driver","AMP connector","","","","","","","",
"1","HV MOS","NMOSSOT223","T2","Eurocard-HV-piezo-driver","MOS FET","","","","unknown","unknown","497-3523-1-ND","",
"1","NT2006","NT2006","U5","Eurocard-HV-piezo-driver","6 CH level shifter, eg, http://www.nxp.com/documents/data_sheet/NVT2003_04_06.pdf","","","","","","568-6661-1-ND","",
"1","","PINHD-1X2","JP2","Eurocard-HV-piezo-driver","PIN HEADER","","","","","","DNP","",
"1","DNP","PINHD-1X3","JP5","Eurocard-HV-piezo-driver","PIN HEADER","","","","","","","",
"2","","PINHD-2X4-SHROUD","ENC, LCD","Eurocard-HV-piezo-driver","PIN HEADER","","","","","","609-3530-ND","",
"1","RF_36103505","RF_36103505","U$1","Eurocard-HV-piezo-driver","RF shield, 50mm^2; Wurth 36103505 (digikey 732-2495-ND)","","","","","","732-2495-ND","",
"1","10k","R_SMDR0603","R31","Eurocard-HV-piezo-driver","","","","","","","---","",
"2","10k","R_SMDR0603","R47, R49","Eurocard-HV-piezo-driver","","","","","","","","",
"6","10k","R_SMDR0603","R3, R7, R35, R39, R46, REXT","Eurocard-HV-piezo-driver","","","","","","","P10.0KHCT-ND","",
"1","10k","R_SMDR0603","R4","Eurocard-HV-piezo-driver","","","","","","","TNP10.0KAACT-ND ","",
"4","10k","R_SMDR0603","R11, R85, RF_0A, RF_0B","Eurocard-HV-piezo-driver","","","","","","","TNP10.0KAACT-ND","",
"3","1M","R_SMDR0603","R40, R45, R48","Eurocard-HV-piezo-driver","","","","","","","A102234CT-ND","",
"2","20.5k","R_SMDR0603","R23, R25","Eurocard-HV-piezo-driver","","","","","","","RR08P20.5KDCT-ND","",
"1","200k","R_SMDR0603","R1","Eurocard-HV-piezo-driver","","","","","","","P200KHCT-ND","",
"1","27.4k","R_SMDR0603","R9","Eurocard-HV-piezo-driver","","","","","","","P27.4KHCT-ND","",
"2","39","R_SMDR0603","R37, R44","Eurocard-HV-piezo-driver","","","","","","","","",
"3","3k","R_SMDR0603","R27, R33, R36","Eurocard-HV-piezo-driver","","","","","","","P3.00KHCT-ND","",
"1","5.6R","R_SMDR0603","R5","Eurocard-HV-piezo-driver","","","","","","","P5.6AJCT-ND","",
"1","63.4k","R_SMDR0603","R21","Eurocard-HV-piezo-driver","","","","","","","---","",
"2","100k","R_SMDR0805","R29, R43","Eurocard-HV-piezo-driver","","","","","","","P100KCCT-ND","",
"1","15k","R_SMDR0805","R30","Eurocard-HV-piezo-driver","","","","","","","P15.0KCCT-ND","",
"1","2.7k","R_SMDR0805","R28","Eurocard-HV-piezo-driver","","","","","","","P2.70KCCT-ND","",
"4","49.9R","R_SMDR0805","R20, R34, R38, R41","Eurocard-HV-piezo-driver","","","","","","","P49.9CCT-ND","",
"9","499R","R_SMDR0805","R6, R12, R13, R14, R15, R16, R17, R18, R26","Eurocard-HV-piezo-driver","","","","","","","P499CCT-ND","",
"2","8.2k","R_SMDR0805","R22, R24","Eurocard-HV-piezo-driver","","","","","","","P8.20KCCT-ND","",
"2","1M","R_SMDR1206","R8, R19","Eurocard-HV-piezo-driver","","","","","","","TNP1.00MACCT-ND","",
"1","4.99M","R_SMDR1206","R42","Eurocard-HV-piezo-driver","","","","","","","BC2837CT-ND","",
"2","499k","R_SMDR1206","R10, RI_0","Eurocard-HV-piezo-driver","","","","","","","TNP499KACCT-ND","",
"2","HV 499R","R_SMDR1206","R2, R32","Eurocard-HV-piezo-driver","","","","","","","P499FCT-ND","",
"1","74AHCT1G02","SOT23-5-LOGIC","U8","Eurocard-HV-piezo-driver","","","","","","","568-9104-1-ND","",
"1","ADG849","SPDT","SW1","Eurocard-HV-piezo-driver","SPDT switch, eg, ADG849","","","","","","ADG849YKSZ-REELCT-ND","",
"1","SWITCH-TACTILE","SWITCH-TACTILE","SW2","Eurocard-HV-piezo-driver","","","","","","","","",
"1","UMC","UMC","X1","Eurocard-HV-piezo-driver","UMC "ultra-miniature" Coaxial connector.","","","","","","A118077CT-ND","",
"1","","VG64C","J1","Eurocard-HV-piezo-driver","PCB EUROCARD, 64-pin type C/AC, 2.54 mm","","","","","","A32299-ND","",
"1","AZ23C15-FDICT-ND","ZENER-DUAL","D2","Eurocard-HV-piezo-driver","","","","","","","AZ23C15-FDICT-ND","",
